rating,year,img,name,link,location,type,lat,lng
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f7b0b00f01874b90941baf7cb6c3b891?width=500&amp;sharp=1,Casamia,https://guide.michelin.com//en/south-gloucestershire/bristol/restaurant/casamia,City of Bristol,Creative,51.4472324,-2.5938672
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/ff97aff3eade4ad9b2a1c19e28d50451?width=500&amp;sharp=1,Paco Tapas,https://guide.michelin.com//en/south-gloucestershire/bristol/restaurant/paco-tapas,City of Bristol,Spanish,51.4471154,-2.5940282
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/847a993153594c6bb041cbeb087e52a8?width=500&amp;sharp=1,Osip,https://guide.michelin.com//en/somerset/bruton/restaurant/osip,Bruton,Modern British,51.1124803,-2.4536672
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/009db47425364919abfd51a760ee810f?width=500&amp;sharp=1,Brat,https://guide.michelin.com//en/greater-london/london/restaurant/brat,London,Traditional British,51.5242457,-0.0769561
2,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/99efe070c7d34188a4661ce8ca221aad?width=500&amp;sharp=1,Le Gavroche,https://guide.michelin.com//en/greater-london/london/restaurant/le-gavroche,London,French,51.5112997,-0.1552575
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/55094f5eb9754d00b6b2a38280bcfb55?width=500&amp;sharp=1,Muse,https://guide.michelin.com//en/greater-london/london/restaurant/muse-1188132,London,"Creative, Creative",51.4994673,-0.1509184
2,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/530467de9a12482cb7676c3e2e682e66?width=500&amp;sharp=1,La Dame de Pic London,https://guide.michelin.com//en/greater-london/london/restaurant/la-dame-de-pic,London,Modern French,51.5101629,-0.0779535
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/07380766449d4ce9952b7d6ef358f771?width=500&amp;sharp=1,Seven Park Place,https://guide.michelin.com//en/greater-london/london/restaurant/seven-park-place,London,Modern Cuisine,51.5061901,-0.1402288
1,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c2739babc7cd4abebe45d76f579bc88c?width=500&amp;sharp=1,The Ninth,https://guide.michelin.com//en/greater-london/london/restaurant/the-ninth,London,Mediterranean Cuisine,51.5188446,-0.1349237
2,MICHELIN Guide United Kingdom,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/652a9cf1e75c4652ac1c5e7a21573417?width=500&amp;sharp=1,Da Terra,https://guide.michelin.com//en/greater-london/london/restaurant/da-terra,London,Creative,51.530411,-0.05607
