Code,Housing,Stars,Restaurants,Population,Income,Name,weighted,Color,Predicted_Stars
E09000020,1256712.531,11.0,"['Restaurant Gordon Ramsay', 'Kitchen W8', 'CORE by Clare Smyth', 'Five Fields', 'Claude Bosi at Bibendum', 'Elystan Street']",156129,85376,Kensington and Chelsea,941023.2617,"(255, 0, 0)",15.0
E09000021,486236.8773,,,177507,29045,Kingston upon Thames,362472.38411,"(0, 171, 84)",4.0
E09000023,410349.5528,,,305842,24047,Lewisham,307136.00696,"(0, 139, 116)",4.0
E09000024,507899.5062,,,206548,33251,Merton,380870.83434,"(0, 182, 73)",5.0
E09000025,363456.238,,,353134,20710,Newham,272447.7066,"(0, 119, 136)",3.0
E09000026,415067.9548,,,305222,24650,Redbridge,310854.78836,"(0, 141, 114)",4.0
E09000028,498671.8914,4.0,"['Trivet', 'Sollip', 'Story']",318830,28609,Southwark,372284.92398,"(0, 177, 78)",5.0
N09000001,142254.3181,,,143504,17723,Antrim and Newtownabbey,113419.16267,"(0, 25, 230)",0.0
N09000002,122469.8357,,,216205,16649,"Armagh City, Banbridge and Craigavon",99545.23499,"(0, 17, 238)",0.0
N09000003,131083.9297,3.0,"['The Muddlers Club', 'Eipic', 'OX']",343542,16974,Belfast,107075.97079,"(0, 22, 233)",0.0
N09000004,145739.1734,,,144838,17219,Causeway Coast and Glens,115519.10138,"(0, 27, 228)",0.0
N09000005,123065.9246,,,151284,15331,Derry City and Strabane,98390.68722,"(0, 16, 239)",0.0
N09000006,128333.6597,,,117397,16403,Fermanagh and Omagh,102489.63178999998,"(0, 19, 236)",0.0
N09000007,163390.8629,,,146002,19774,Lisburn and Castlereagh,129675.42403,"(0, 35, 220)",0.0
N09000008,128294.2454,,,139274,18496,Mid and East Antrim,104145.91178,"(0, 20, 235)",0.0
N09000009,135126.912,,,148528,17164,Mid Ulster,108088.9184,"(0, 22, 233)",0.0
E08000033,146942.7307,,,211455,17882,Calderdale,117491.86148999998,"(0, 28, 227)",0.0
E08000007,228233.1242,,,293423,21606,Stockport,177821.61693999998,"(0, 63, 192)",1.0
E08000010,134926.5928,,,328662,17239,Wigan,109802.53496,"(0, 23, 232)",0.0
E08000013,131209.8307,,,180585,17325,St. Helens,105780.23149,"(0, 21, 234)",0.0
E08000019,167002.822,,,584853,16131,Sheffield,134042.20539999998,"(0, 37, 218)",1.0
E08000025,188589.5937,5.0,"['Opheem', ""Purnell's"", 'Carters of Moseley', ""Adam's"", 'Simpsons']",1141816,15368,Birmingham,154188.47559,"(0, 49, 206)",4.0
E08000031,154056.8845,,,263357,15500,Wolverhampton,121323.38914999996,"(0, 30, 225)",0.0
E08000037,131170.1197,,,202055,16477,Gateshead,105373.53379,"(0, 21, 234)",0.0
E08000008,150900.8484,,,226493,17185,Tameside,119925.02388,"(0, 29, 226)",0.0
E08000009,290302.561,,,237354,24060,Trafford,222427.3327,"(0, 89, 166)",2.0
E08000032,136946.9005,,,539776,15308,Bradford,111976.19035,"(0, 24, 231)",1.0
E08000034,150239.7762,,,439787,17288,Kirklees,121667.31334,"(0, 30, 225)",0.0
E08000035,185627.7611,1.0,['The Man Behind The Curtain'],793139,18634,Leeds,150914.62277,"(0, 47, 208)",2.0
E08000036,150246.9464,,,348312,17329,Wakefield,120786.28247999998,"(0, 30, 225)",0.0
E08000011,130308.9765,,,150862,16627,Knowsley,104363.80355,"(0, 20, 235)",0.0
E08000012,133973.0043,,,498042,15673,Liverpool,109732.62301,"(0, 23, 232)",0.0
E08000014,167542.4896,,,276410,19325,Sefton,133571.34272,"(0, 37, 218)",0.0
E08000015,160475.2584,1.0,['Fraiche'],324011,19175,Wirral,128995.29088,"(0, 34, 221)",0.0
E08000016,124750.3851,,,246866,17093,Barnsley,101759.02956999998,"(0, 18, 237)",0.0
E08000017,128850.7864,,,311890,17001,Doncaster,105215.15047999998,"(0, 20, 235)",0.0
E08000018,140457.0197,,,265411,16985,Rotherham,112863.52379,"(0, 25, 230)",0.0
E08000021,159631.7865,1.0,['House of Tides'],302820,16473,Newcastle upon Tyne,126301.55055,"(0, 33, 222)",0.0
E08000022,161641.5235,,,207913,18246,North Tyneside,128000.39645,"(0, 34, 221)",0.0
E08000023,133526.6567,,,150976,15915,South Tyneside,106118.91968999998,"(0, 21, 234)",0.0
E08000024,116314.9512,,,277705,16011,Sunderland,95405.21584,"(0, 15, 240)",0.0
E08000026,188280.2305,,,371521,15350,Coventry,146256.37135,"(0, 45, 210)",1.0
E08000027,178582.9879,,,321596,16735,Dudley,139938.55153,"(0, 41, 214)",0.0
E08000028,152005.8675,,,328450,14454,Sandwell,119806.40725,"(0, 29, 226)",0.0
E08000029,283845.5376,1.0,"[""Peel's""]",216374,23722,Solihull,217461.01632,"(0, 86, 169)",1.0
E08000030,166990.4414,,,285478,15694,Walsall,130733.88898,"(0, 35, 220)",0.0
E08000001,137241.4111,,,287550,16533,Bolton,110517.58776999998,"(0, 24, 231)",0.0
E08000002,179195.2068,,,190990,19142,Bury,140745.94475999998,"(0, 41, 214)",0.0
E08000003,181071.142,1.0,['mana'],552858,15322,Manchester,143003.7794,"(0, 43, 212)",1.0
E08000005,141396.8266,,,222412,16143,Rochdale,112501.99862,"(0, 25, 230)",0.0
E08000006,165465.8515,,,258834,17524,Salford,130681.23604999998,"(0, 35, 220)",0.0
E08000004,136051.5602,,,237110,15885,Oldham,108726.69214,"(0, 23, 232)",0.0
E07000145,173486.8243,,,99336,16225,Great Yarmouth,133791.63701,"(0, 37, 218)",0.0
E07000149,260584.4466,,,140880,20564,South Norfolk,198212.71262,"(0, 75, 180)",1.0
E07000166,211226.2555,,,53730,21033,Richmondshire,163118.77884999997,"(0, 54, 201)",0.0
E07000211,405831.8978,,,148748,29069,Reigate and Banstead,305918.10846,"(0, 138, 117)",3.0
E07000212,410246.3894,1.0,['Tony Parkin at The Tudor Room'],89424,26925,Runnymede,306914.21257999993,"(0, 139, 116)",3.0
E07000214,392086.1572,1.0,['Latymer'],89305,29545,Surrey Heath,296034.86004,"(0, 132, 123)",3.0
E07000215,439765.387,,,88129,30333,Tandridge,329950.1609,"(0, 152, 103)",3.0
E07000216,451241.9183,,,126328,33071,Waverley,340282.32281,"(0, 158, 97)",3.0
E07000217,415297.9291,,,100793,29877,Woking,312630.38037,"(0, 142, 113)",3.0
E07000218,206851.2051,,,65264,20109,North Warwickshire,159524.78357,"(0, 52, 203)",0.0
E07000220,233933.5399,,,108935,22071,Rugby,180292.52793,"(0, 64, 191)",0.0
E07000221,317229.828,2.0,"['The Royal Oak', 'Salt']",130098,27934,Stratford-on-Avon,242915.6596,"(0, 101, 154)",2.0
E07000222,309065.7605,1.0,['The Cross at Kenilworth'],143753,27980,Warwick,237369.56235,"(0, 98, 157)",1.0
E07000223,315664.9936,,,64301,21618,Adur,236741.10551999995,"(0, 98, 157)",2.0
E07000225,376961.0753,,,121129,26915,Chichester,283924.54271,"(0, 125, 130)",3.0
E07000226,280701.4683,,,112409,21656,Crawley,212774.31781,"(0, 84, 171)",1.0
E07000227,374058.5485,2.0,"['Restaurant Tristan', 'Interlude']",143791,27522,Horsham,282544.29395,"(0, 124, 131)",3.0
E07000228,369955.5875,1.0,['Gravetye Manor'],151022,26947,Mid Sussex,279342.03125,"(0, 123, 132)",3.0
E07000229,279060.1925,,,110570,22224,Worthing,212004.63475,"(0, 83, 172)",1.0
E07000192,170510.929,,,100762,18096,Cannock Chase,133032.4703,"(0, 37, 218)",0.0
E07000194,246576.4678,1.0,['Upstairs by Tom Shepherd'],104756,22974,Lichfield,189732.88746,"(0, 70, 185)",0.0
E07000195,157442.0101,,,129441,17666,Newcastle-under-Lyme,123870.01707,"(0, 31, 224)",0.0
E07000196,230820.1886,,,112436,20463,South Staffordshire,177022.59201999998,"(0, 63, 192)",0.0
E07000197,209228.1002,,,137280,20473,Stafford,162163.57013999997,"(0, 54, 201)",0.0
E07000198,182358.3881,,,98435,19411,Staffordshire Moorlands,142222.92166999998,"(0, 42, 213)",0.0
E07000200,286017.4155,,,92036,22641,Babergh,216981.25085,"(0, 86, 169)",1.0
E07000202,197068.7093,,,136913,18093,Ipswich,151982.32650999998,"(0, 48, 207)",0.0
E07000203,267640.0436,,,103895,21280,Mid Suffolk,203282.98052,"(0, 78, 177)",1.0
E07000207,586050.4374,,,136795,40922,Elmbridge,440248.65618,"(0, 217, 38)",5.0
E07000208,454605.9879,,,80627,29427,Epsom and Ewell,339629.36153,"(0, 158, 97)",4.0
E07000209,445856.4668,1.0,['Clock House'],148998,29325,Guildford,334117.00676,"(0, 155, 100)",4.0
E07000168,165214.9377,,,108757,19116,Scarborough,130119.22639,"(0, 35, 220)",0.0
E07000169,201019.2174,,,90620,21994,Selby,157015.45218,"(0, 51, 204)",0.0
E07000170,143389.1715,,,127918,16845,Ashfield,113443.10004999998,"(0, 25, 230)",0.0
E07000171,156256.0379,,,117459,18596,Bassetlaw,123571.01652999998,"(0, 31, 224)",0.0
E07000172,186145.1016,,,114033,18570,Broxtowe,144440.90112,"(0, 43, 212)",0.0
E07000174,137695.5708,,,109313,17448,Mansfield,109693.62956,"(0, 23, 232)",0.0
E07000175,184091.9929,,,122421,20004,Newark and Sherwood,144091.40503,"(0, 43, 212)",0.0
E07000176,277906.3664,,,119184,23384,Rushcliffe,212095.09648,"(0, 83, 172)",1.0
E07000178,407963.5616,,,152457,22848,Oxford,303092.66312,"(0, 136, 119)",3.0
E07000179,408312.9111,2.0,"[""Le Manoir aux Quat' Saisons, a Belmond Hotel""]",142057,29669,South Oxfordshire,308007.90777,"(0, 139, 116)",3.0
E07000181,324130.2683,,,110643,27212,West Oxfordshire,247046.01781,"(0, 104, 151)",2.0
E07000187,257968.5443,,,115587,22146,Mendip,197236.05101,"(0, 74, 181)",1.0
E07000188,227492.3116,,,123178,20340,Sedgemoor,174714.39811999997,"(0, 61, 194)",0.0
E07000189,229151.8191,1.0,['Osip'],168345,20810,South Somerset,176656.72337,"(0, 62, 193)",1.0
E07000193,181624.3345,,,119754,19763,East Staffordshire,142168.67414999998,"(0, 42, 213)",0.0
E07000199,185877.0288,,,76696,18446,Tamworth,143793.08015999998,"(0, 43, 212)",0.0
E07000210,477691.7216,1.0,['Sorrel'],87245,33329,Mole Valley,358586.95512,"(0, 169, 86)",4.0
E07000173,187433.6992,,,117896,19250,Gedling,145857.54943999997,"(0, 44, 211)",0.0
E07000177,283741.9593,1.0,['Nut Tree Inn'],150503,24115,Cherwell,217004.90151,"(0, 86, 169)",1.0
E07000180,354352.9674,,,136007,25680,Vale of White Horse,267383.14718,"(0, 116, 139)",2.0
E07000235,266007.8175,1.0,['Pensons'],78698,23220,Malvern Hills,203246.45225,"(0, 78, 177)",1.0
E07000237,210751.904,,,101222,19509,Worcester,162194.8528,"(0, 54, 201)",0.0
E07000238,273822.0229,,,129433,23462,Wychavon,209393.14602999997,"(0, 82, 173)",1.0
E07000239,192328.3254,,,101291,19037,Wyre Forest,148968.63778,"(0, 46, 209)",0.0
E07000240,506035.8961,,,148452,33751,St Albans,379335.34727,"(0, 181, 74)",4.0
E07000242,387598.0824,,,149748,28356,East Hertfordshire,292665.33768,"(0, 130, 125)",3.0
E07000243,283822.9296,,,87845,20079,Stevenage,213609.80072,"(0, 84, 171)",1.0
E07000213,366490.4085,,,99844,26136,Spelthorne,275836.92595,"(0, 121, 134)",2.0
E07000219,175961.4497,,,129883,18636,Nuneaton and Bedworth,137517.04479,"(0, 39, 216)",0.0
E07000224,284318.6902,,,160758,22471,Arun,216360.36314,"(0, 86, 169)",1.0
E07000234,293056.4666,,,99881,23909,Bromsgrove,222874.63662,"(0, 89, 166)",1.0
E07000011,260896.2694,,,177963,22089,Huntingdonshire,199869.31858,"(0, 76, 179)",1.0
E07000029,122159.7383,,,68183,18788,Copeland,99345.24680999998,"(0, 17, 238)",0.0
E07000035,269002.9409,,,72325,25635,Derbyshire Dales,206969.80863,"(0, 80, 175)",1.0
E07000042,235926.2082,,,82311,20811,Mid Devon,180539.15574,"(0, 65, 190)",0.0
E07000008,435408.6272,2.0,['Midsummer House'],124798,25105,Cambridge,323607.5190399999,"(0, 149, 106)",4.0
E07000009,285122.0432,,,89840,22769,East Cambridgeshire,216422.13024,"(0, 86, 169)",1.0
E07000010,187937.1857,,,101850,17958,Fenland,145145.12999,"(0, 44, 211)",0.0
E07000012,373157.4126,,,159086,27610,South Cambridgeshire,282128.04882,"(0, 124, 131)",3.0
E07000026,151493.4415,1.0,['Cottage in the Wood'],97761,18968,Allerdale,120300.61904999998,"(0, 29, 226)",0.0
E07000027,121605.3483,,,67049,17990,Barrow-in-Furness,98387.23381,"(0, 16, 239)",0.0
E07000028,136613.3516,,,108678,19110,Carlisle,110093.12612,"(0, 23, 232)",0.0
E07000030,198644.1134,2.0,"['Allium at Askham Hall', 'Dog and Gun Inn']",53253,22097,Eden,155051.30938,"(0, 50, 205)",0.0
E07000031,239019.4373,7.0,"[""L'Enclume"", 'Rogan & Co', 'HRiSHi', 'Forest Side', 'Old Stamp House']",105088,23990,South Lakeland,185157.48611,"(0, 67, 188)",0.0
E07000032,174758.8099,,,128147,18983,Amber Valley,136900.73692999998,"(0, 39, 216)",0.0
E07000033,128807.4239,,,80562,16062,Bolsover,102214.21673,"(0, 19, 236)",0.0
E07000034,158537.3652,,,104900,16802,Chesterfield,123786.55564,"(0, 31, 224)",0.0
E07000036,164643.2085,,,115371,18301,Erewash,129214.65595,"(0, 35, 220)",0.0
E07000068,425786.9659,,,77021,30517,Brentwood,320182.98613,"(0, 147, 108)",3.0
E07000074,335345.8137,,,64926,23427,Maldon,251790.22959,"(0, 106, 149)",2.0
E07000079,383645.294,1.0,['Le Champignon Sauvage'],89862,29350,Cotswold,289995.3258,"(0, 129, 126)",2.0
E07000081,204573.0359,,,129128,18751,Gloucester,157618.10512999998,"(0, 51, 204)",0.0
E07000062,214198.7459,,,92661,18545,Hastings,163847.23213000002,"(0, 55, 200)",0.0
E07000064,297475.1833,,,96080,22585,Rother,225002.92831,"(0, 91, 164)",1.0
E07000065,335892.0687,,,161475,25895,Wealden,254865.69809,"(0, 108, 147)",2.0
E07000066,306297.1969,,,187199,21435,Basildon,231284.52783,"(0, 94, 161)",2.0
E07000067,282018.5343,,,152604,22179,Braintree,214464.31401,"(0, 85, 170)",1.0
E07000069,305503.268,,,90376,22011,Castle Point,230163.7476,"(0, 94, 161)",1.0
E07000070,340877.1502,,,178388,24643,Chelmsford,257647.98514,"(0, 110, 145)",2.0
E07000071,263748.8266,,,194706,20570,Colchester,200970.23862,"(0, 77, 178)",1.0
E07000072,459561.5538,,,131689,30550,Epping Forest,344394.97766,"(0, 161, 94)",4.0
E07000073,273823.5176,,,87067,19157,Harlow,205957.03232,"(0, 80, 175)",1.0
E07000075,349442.0658,,,87368,22986,Rochford,261573.32606,"(0, 112, 143)",2.0
E07000076,219491.1946,,,146561,18513,Tendring,168068.54621999996,"(0, 57, 198)",0.0
E07000077,391512.3565,,,91284,28090,Uttlesford,294634.48955,"(0, 132, 123)",3.0
E07000078,270796.0504,,,116306,23197,Cheltenham,206958.19528,"(0, 80, 175)",1.0
E07000080,240548.6451,,,86791,19572,Forest of Dean,182952.36157,"(0, 66, 189)",0.0
E07000061,243286.9951,,,103745,20020,Eastbourne,185352.34657,"(0, 67, 188)",1.0
E07000063,326956.5512,,,103268,23543,Lewes,246382.36584,"(0, 103, 152)",2.0
E07000037,195932.8567,,,92666,19824,High Peak,151956.45969,"(0, 48, 207)",0.0
E07000038,186764.9092,,,101462,19094,North East Derbyshire,145115.85644,"(0, 44, 211)",0.0
E07000039,193688.8383,,,107261,20154,South Derbyshire,150762.59681,"(0, 47, 208)",0.0
E07000040,289509.4499,1.0,['Lympstone Manor'],146284,22078,East Devon,219574.05493,"(0, 88, 167)",1.0
E07000041,258288.5319,,,131405,19005,Exeter,195419.52233,"(0, 73, 182)",1.0
E07000043,247589.9511,2.0,"['Thomas Carr 1873', 'Masons Arms']",97145,20105,North Devon,188357.91577,"(0, 69, 186)",1.0
E07000044,308230.73,1.0,['Elephant'],87004,23927,South Hams,233380.451,"(0, 96, 159)",1.0
E07000045,246983.3319,,,134163,21009,Teignbridge,188936.26233,"(0, 70, 185)",1.0
E07000046,233595.0351,,,68267,18974,Torridge,177480.99457,"(0, 63, 192)",0.0
E07000047,256849.44,,,55796,21509,West Devon,195408.868,"(0, 73, 182)",1.0
E07000136,155233.0299,,,70173,17826,Boston,121843.05092999998,"(0, 30, 225)",0.0
E07000137,179688.7085,,,141727,17178,East Lindsey,139223.96595,"(0, 40, 215)",0.0
E07000138,154993.2675,,,99299,16874,Lincoln,121300.07724999996,"(0, 30, 225)",0.0
E07000139,209885.649,,,116915,19912,North Kesteven,162027.50429999997,"(0, 54, 201)",0.0
E07000140,189238.1162,,,95019,18459,South Holland,146338.17133999997,"(0, 45, 210)",0.0
E07000142,169044.2177,,,95667,18709,West Lindsey,132383.92239,"(0, 36, 219)",0.0
E07000110,289938.4488,,,171826,22888,Maidstone,220696.77416,"(0, 88, 167)",1.0
E07000117,84936.06021,,,88920,15409,Burnley,71130.74214699998,"(0, 1, 254)",0.0
E07000122,100629.3168,1.0,['White Swan'],92112,15985,Pendle,82551.14175999998,"(0, 7, 248)",0.0
E07000125,138014.2184,,,71482,18078,Rossendale,109979.37288,"(0, 23, 232)",0.0
E07000106,301136.3271,2.0,"['Bridge Arms', 'Fordwich Arms']",165394,19631,Canterbury,226191.06897,"(0, 91, 164)",2.0
E07000107,297234.3185,,,112606,22459,Dartford,224911.38295,"(0, 91, 164)",1.0
E07000108,249141.3779,,,118131,19964,Dover,189555.07453,"(0, 70, 185)",1.0
E07000109,278532.6172,,,106939,20665,Gravesham,210507.72204,"(0, 82, 173)",1.0
E07000111,432829.1207,,,120750,31654,Sevenoaks,326345.68449,"(0, 150, 105)",3.0
E07000112,256300.7904,1.0,['hide and fox'],112996,20461,Folkestone and Hythe,194863.21328,"(0, 73, 182)",1.0
E07000113,249811.6093,1.0,['The Sportsman'],150082,19753,Swale,190196.04651,"(0, 70, 185)",1.0
E07000114,236991.0392,1.0,['Stark'],141922,18710,Thanet,180409.94744,"(0, 65, 190)",1.0
E07000115,366755.5229,,,132153,25249,Tonbridge and Malling,275724.69603,"(0, 120, 135)",2.0
E07000116,383412.8421,,,118724,28503,Tunbridge Wells,289528.32947,"(0, 129, 126)",3.0
E07000118,180459.1949,,,118216,19463,Chorley,141127.69642999998,"(0, 42, 213)",0.0
E07000119,190037.0686,,,80780,21603,Fylde,148955.84801999998,"(0, 46, 209)",0.0
E07000120,96668.65509,,,81043,15704,Hyndburn,79471.288563,"(0, 5, 250)",0.0
E07000121,156283.1124,,,146038,17433,Lancaster,123061.65868,"(0, 31, 224)",0.0
E07000123,127379.8077,,,143135,17133,Preston,102590.31539,"(0, 19, 236)",0.0
E07000087,293760.4722,,,116233,22669,Fareham,222662.96054,"(0, 89, 166)",1.0
E07000093,325726.4104,,,126160,25872,Test Valley,247380.48728,"(0, 104, 151)",2.0
E07000099,337493.6698,,,133570,25826,North Hertfordshire,255659.46886,"(0, 109, 146)",2.0
E07000105,295051.1739,,,130032,21967,Ashford,223213.04173,"(0, 90, 165)",1.0
E07000082,279877.6828,,,119964,23588,Stroud,213625.61796,"(0, 84, 171)",1.0
E07000083,275232.6376,,,95019,21669,Tewkesbury,208781.33632,"(0, 81, 174)",1.0
E07000084,301641.2379,,,176582,25458,Basingstoke and Deane,230735.28653,"(0, 94, 161)",2.0
E07000085,366488.5819,,,122308,28337,East Hampshire,277600.98733,"(0, 122, 133)",2.0
E07000086,282451.8225,,,133584,22722,Eastleigh,214957.51575,"(0, 85, 170)",1.0
E07000088,210673.2957,,,84838,18711,Gosport,161417.38698999997,"(0, 53, 202)",0.0
E07000089,406364.6138,,,97073,29293,Hart,305931.05966,"(0, 138, 117)",3.0
E07000090,264257.7219,,,126220,20700,Havant,200732.60533,"(0, 76, 179)",1.0
E07000091,335120.2065,,,180086,24778,New Forest,253729.60455,"(0, 108, 147)",2.0
E07000092,281591.3284,,,94599,22215,Rushmoor,213610.41988,"(0, 84, 171)",1.0
E07000094,411570.9059,,,124859,28611,Winchester,309375.92412999994,"(0, 140, 115)",3.0
E07000095,351847.5251,,,97279,23109,Broxbourne,263442.35757,"(0, 113, 142)",2.0
E07000096,399291.6728,,,154763,26318,Dacorum,299474.40095999994,"(0, 134, 121)",3.0
E07000098,462457.1866,,,104919,30046,Hertsmere,345801.42062,"(0, 162, 93)",4.0
E07000102,514591.027,,,93323,29712,Three Rivers,381945.3489,"(0, 183, 72)",5.0
E07000103,347012.5441,,,96577,24163,Watford,260788.65087,"(0, 112, 143)",2.0
E07000236,209475.4498,,,85261,21187,Redditch,162316.32486,"(0, 54, 201)",0.0
E07000241,391313.1532,,,123043,22895,Welwyn Hatfield,291176.13723999995,"(0, 130, 125)",3.0
E07000143,223764.109,,,139968,18462,Breckland,170957.95629999996,"(0, 59, 196)",0.0
